59,16,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,36,6,0,0,18,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,19,43,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,3,41,4,0,0,17,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,10,60,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,0,0,0,35,25,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5,43,8,3,0,7,1,17,0,0,0,0,0,0,0,0,0,0
0,2,0,2,0,1,20,46,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,3,5,60,1,0,0,5,0,9,0,0,0,0,0,0,0,0
0,0,0,7,0,0,0,3,7,67,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,10,0,0,0,50,13,7,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,4,45,10,4,0,3,3,13,0,0,0,0,0
0,0,0,0,0,0,3,0,12,0,2,3,54,10,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,3,63,1,0,1,4,1,10,0,0,0
0,0,0,0,0,0,0,0,7,0,0,0,3,5,68,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,57,9,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,51,6,0,0,10,2,0
0,0,0,0,0,0,0,0,0,0,1,5,0,8,0,1,7,49,9,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,55,3,0,14,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,15,61,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,0,0,58,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,7,0,3,56,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,6,58
